Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,0,1,1,106,106,0
T1,0,1,1,107,107,0
T2,0,1,1,110,110,0
T3,0,1,1,111,111,0
T4,0,1,1,112,112,0
T5,0,1,1,117,117,0
T6,0,1,1,119,119,0
T7,0,1,1,125,125,0
T8,0,1,1,126,126,0
T9,0,1,1,127,127,0
T10,0,1,1,143,143,0
T11,0,1,1,177,177,0
T12,0,1,1,183,183,0
T13,0,1,1,198,198,0
T14,0,5,7,200,200,0
T15,0,1,1,202,202,0
T16,0,1,1,204,204,0
T17,0,1,1,206,206,0
T18,0,4,5,219,219,0
T19,0,1,1,249,249,0
T20,0,1,1,263,263,0
T21,0,3,3,266,266,0
T22,0,1,1,269,269,0
T23,0,1,1,272,272,0
T24,0,1,1,279,279,0
T25,0,1,1,291,291,0
T26,0,2,2,291,291,0
T27,0,1,1,310,310,0
T28,0,2,2,310,310,0
T29,0,1,1,313,313,0
T30,0,3,4,359,359,0
T31,0,2,2,386,386,0
T32,0,3,3,391,391,0
T33,0,1,1,409,409,0
T34,0,1,1,426,426,0
T35,0,1,1,459,459,0
T36,0,3,3,462,462,0
T37,0,3,4,508,508,0
T38,0,3,4,542,542,0
T39,0,6,8,597,597,0
T40,0,1,1,622,622,0
T41,0,1,1,647,647,0
T42,0,3,3,677,677,0
T43,0,3,4,752,752,0
T44,0,1,1,762,762,0
T45,0,5,6,830,830,0
T46,0,4,5,857,857,0
T47,0,1,1,898,898,0
T48,0,7,9,967,967,0
T49,0,3,4,1042,1042,0
T50,0,8,11,1048,1048,0
T51,0,9,12,1072,1072,0
T52,0,5,6,1179,1179,0
T53,0,3,4,1310,1310,0
T54,0,2,2,1326,1326,0
T55,0,1,1,1354,1354,0
T56,0,10,13,1504,1504,0
T57,0,3,3,1537,1537,0
T58,0,5,7,1753,1753,0
T59,0,12,16,1862,1862,0
T60,0,4,5,1879,1879,0
T61,0,11,15,1963,1963,0
T62,0,4,5,2076,2076,0
T63,0,10,13,2133,2133,0
T64,0,3,3,2152,2152,0
T65,0,16,22,2189,2189,0
T66,0,5,7,2251,2251,0
T67,0,10,14,2284,2284,0
T68,0,4,5,2432,2432,0
T69,0,24,33,2565,2565,0
T70,0,7,10,2659,2659,0
T71,0,20,28,2711,2711,0
T72,0,2,2,2798,2798,0
T73,0,1,1,3332,3332,0
T74,0,9,12,3375,3375,0
T75,0,11,15,3520,3520,0
T76,0,6,8,3596,3596,0
T77,0,5,6,3674,3674,0
T78,0,5,6,3767,3767,0
T79,0,13,18,4022,4022,0
T80,0,9,12,4036,4036,0
T81,0,36,51,4414,4414,0
T82,0,1,1,4588,4588,0
T83,0,3,4,4901,4901,0
T84,0,2,2,5862,5862,0
T85,0,5,7,6058,6058,0
T86,0,69,98,6232,6232,0
T87,0,2,2,6299,6299,0
T88,0,18,25,6400,6400,0
T89,0,5,7,6623,6623,0
T90,0,17,23,7234,7234,0
T91,0,10,13,7509,7509,0
T92,0,15,21,7687,7687,0
T93,0,45,63,8055,8055,0
T94,0,3,3,8152,8152,0
T95,0,45,63,8810,8810,0
T96,0,62,88,8897,8897,0
T97,0,45,64,9517,9517,0
T98,0,12,16,9891,9891,0
T99,0,56,79,9895,9895,0
